Industry,Gender,education_level,avg_salary
"Enviromental ",Man,"College degree",72000
Environment,Woman,"College degree",730000
"Environment, Health, And Safety",Woman,"College degree",70000
Environmental,Man,"College degree",66000
"Environmental Compliance/Engineering",Woman,"Master's degree",87460
"Environmental Health + Pest Control",Woman,"College degree",57900
"Environmental Science",Woman,"Master's degree",85000
"Executive Search",Woman,"College degree",90000
"Federal Contracting/Bunited Statesiness Development",Man,"College degree",70000
Finance,Woman,"Master's degree",130000
"Fire Protection",Woman,"College degree",70000
Fitness,Woman,"College degree",62000
Fmcg,Woman,"Master's degree",75000
Food,Woman,"College degree",33000
"Food & Beverages",Woman,"Master's degree",55000
"Food Production",Woman,"College degree",65000
"Funeral Service ",Woman,"Some college",33280
"Funeral Services",Woman,"Master's degree",30284
"Gaming (Gambling)",Man,"Master's degree",72000
"Global Mobility",Woman,"College degree",57500
"Government ",Woman,"Master's degree",70000
"Government And Public Adminisraeltration",Woman,"College degree",37400
"Government And Public Administration",Man,"College degree",73511.64
"Government And Public Administration",Man,"High School",120000
"Government And Public Administration",Man,"Master's degree",91129
"Government And Public Administration",Man,PhD,120000
"Government And Public Administration",Man,"Professional degree (MD, JD, etc.)",100650
"Government And Public Administration",Man,"Some college",55500
"Government And Public Administration",Non-binary,"College degree",46213.33
"Government And Public Administration",Non-binary,"Master's degree",56150
"Government And Public Administration",Non-binary,"Professional degree (MD, JD, etc.)",80000
"Government And Public Administration",Non-binary,"Some college",35940
"Government And Public Administration",Unknown,"College degree",110000
"Government And Public Administration",Unknown,"Master's degree",86666.67
"Government And Public Administration",Woman,"College degree",71882.02
"Government And Public Administration",Woman,"High School",37272.5
"Government And Public Administration",Woman,"Master's degree",87386.03
"Government And Public Administration",Woman,PhD,97647.77
"Government And Public Administration",Woman,"Professional degree (MD, JD, etc.)",92326
"Government And Public Administration",Woman,"Some college",66599.6
"Government And Public Administration",Woman,Unknown,96000
"Government Contracting",Woman,"Master's degree",110000
"Government Contractor ",Woman,"Some college",70000
"Graduate Assistant And Also Events ",Woman,"Master's degree",24000
"Health Care",Man,"College degree",81664.67
"Health Care",Man,"Master's degree",52000
"Health Care",Man,PhD,55000
"Health Care",Man,"Some college",44850
"Health Care",Non-binary,"Master's degree",68000
"Health Care",Non-binary,"Some college",55000
"Health Care",Unknown,"College degree",55259
"Health Care",Unknown,"Master's degree",22300
"Health Care",Woman,"College degree",78476.65
"Health Care",Woman,"High School",40125
"Health Care",Woman,"Master's degree",98731.47
"Health Care",Woman,PhD,94889.57
"Health Care",Woman,"Professional degree (MD, JD, etc.)",193983.48
"Health Care",Woman,"Some college",39424.62
"Health Care",Woman,Unknown,63000
"Healthcare Technology ",Woman,"Master's degree",83900
"Hospitality & Events",Man,"College degree",39769
"Hospitality & Events",Man,"Master's degree",93000
"Hospitality & Events",Woman,"College degree",63635.9
"Hospitality & Events",Woman,"Master's degree",75060
