"Job Title",experience_years,total_compensation
"Bid Writer","8 - 10 years",200000
"Billing & Accounts Receivable Coordinator ","8 - 10 years",42000
"Billing Coordinator","8 - 10 years",75215
"Billing Specialist","8 - 10 years",32240
Biologist,"8 - 10 years",214000
Biostatistician,"8 - 10 years",250200
Bookkeeper,"8 - 10 years",94600
Bookkkeeper,"8 - 10 years",12000
Bookseller,"8 - 10 years",18500
"Branch Manager","8 - 10 years",110330
"Brand Manager","8 - 10 years",200000
"Brand Manager ","8 - 10 years",265000
"Brand Strategist","8 - 10 years",70000
"Brokerage Risk Specialist","8 - 10 years",209000
"Bsa Manager","8 - 10 years",212000
"Bsa/Aml/Ofac Admin","8 - 10 years",35000
"Budget Analyst","8 - 10 years",392000
"Budget And Policy Analyst","8 - 10 years",208000
"Bunited Statesiness Administrator","8 - 10 years",57878
"Bunited Statesiness Analyst","8 - 10 years",1348356
"Bunited Statesiness Consultant","8 - 10 years",218000
"Bunited Statesiness Continuity Analyst","8 - 10 years",58000
"Bunited Statesiness Design Consultant","8 - 10 years",284000
"Bunited Statesiness Design Consultant ","8 - 10 years",274000
"Bunited Statesiness Development & Service Manager","8 - 10 years",63000
"Bunited Statesiness Development Manager ","8 - 10 years",170000
"Bunited Statesiness Development Representative","8 - 10 years",60000
"Bunited Statesiness Development Specialist","8 - 10 years",69000
"Bunited Statesiness Informaticist","8 - 10 years",68000
"Bunited Statesiness Intelligence Analyst","8 - 10 years",141488
"Bunited Statesiness Intelligence Assistant ","8 - 10 years",22300
"Bunited Statesiness Intelligence Engineer","8 - 10 years",370800
"Bunited Statesiness Intelligence Lead","8 - 10 years",72000
"Bunited Statesiness Intelligence Manager","8 - 10 years",340000
"Bunited Statesiness Intelligence Specialist","8 - 10 years",75000
"Bunited Statesiness Management Support","8 - 10 years",26350
"Bunited Statesiness Operations (Data Analyst)","8 - 10 years",244000
"Bunited Statesiness Operations Analyst","8 - 10 years",107278
"Bunited Statesiness Operations Manager","8 - 10 years",297202
"Bunited Statesiness Representative","8 - 10 years",160000
"Bunited Statesiness Systems Analyst","8 - 10 years",368000
"Bunited Statesiness Systems Analyst ","8 - 10 years",64000
"Bunited Statesiness Technology Liaison ","8 - 10 years",51600
"Bunited Statesinesses Analyst Manager ","8 - 10 years",270000
"Bunited Statessiness Assistant","8 - 10 years",485134
Buyer,"8 - 10 years",83000
Buyer/Manager,"8 - 10 years",67000
"Bylaw Enforcement Officer","8 - 10 years",76500
"Campaigns And Policy Coordinator ","8 - 10 years",28500
"Candidate Experience Specialist","8 - 10 years",70000
"Care Assistant ","8 - 10 years",18200
"Care Manager","8 - 10 years",100000
"Career Coach","8 - 10 years",45000
"Career Counselor","8 - 10 years",62500
"Careers Adviser","8 - 10 years",26000
Caregiver,"8 - 10 years",35000
Carpenter,"8 - 10 years",48000
"Case Manager","8 - 10 years",378594
"Case Manager ","8 - 10 years",48000
Caseworker,"8 - 10 years",34112
Ceo,"8 - 10 years",442000
"Certified Pharmacy Technician","8 - 10 years",40000
"Certified Registered Nurse Anesthetist ","8 - 10 years",345000
Cfo,"8 - 10 years",16000
"Change & Internal Communications Manager","8 - 10 years",58600
"Channel Development Manager","8 - 10 years",173000
Chaplain,"8 - 10 years",32000
"Chef And Recipe Developer","8 - 10 years",181500
"Chief Executive Official","8 - 10 years",50
"Chief Of Staff","8 - 10 years",970000
"Chief Of Staff ","8 - 10 years",170000
"Chief Operations Officer","8 - 10 years",160000
"Chief Therapist  - Radiation Therapist","8 - 10 years",68600
"Child Care Center Licensor","8 - 10 years",68000
"Chiropractic Assistant","8 - 10 years",29120
"City Administrator","8 - 10 years",190000
"City Planner","8 - 10 years",73000
"Civil Rights Lawyer","8 - 10 years",204000
"Claims Adjunited Statester","8 - 10 years",67700
"Claims Operations Analyst","8 - 10 years",74000
"Claims Processor 2","8 - 10 years",52898
"Claims Representative","8 - 10 years",55300
"Claims Representative ","8 - 10 years",158000
"Claims Specialist ","8 - 10 years",69600
Cleaner,"8 - 10 years",41600
"Client Manager","8 - 10 years",61000
"Client Partner","8 - 10 years",80000
"Client Relationship Manager","8 - 10 years",71000
"Client Relationship Manager ","8 - 10 years",35500
"Client Service Manager","8 - 10 years",68000
"Client Service Manager ","8 - 10 years",71000
"Client Service Rep","8 - 10 years",74189
"Client Service Representative","8 - 10 years",301900
"Client Services Coordinator","8 - 10 years",47840
"Client Services Manager","8 - 10 years",72500
"Client Services Representative","8 - 10 years",40000
"Clinic Director","8 - 10 years",68000
"Clinical Biospecimen Coordinator","8 - 10 years",43000
"Clinical Engineer","8 - 10 years",346000
"Clinical Laboratory Scientist","8 - 10 years",246000
"Clinical Manager ","8 - 10 years",67000
"Clinical Operations Associate Director","8 - 10 years",271520
"Clinical Psychologist","8 - 10 years",156000
"Clinical Research Monitor","8 - 10 years",73405
"Clinical Research Project Manager","8 - 10 years",66400
"Clinical Supervisor","8 - 10 years",121500
"Clinical Support Coordinator ","8 - 10 years",41600
"Clinical Trial Associate ","8 - 10 years",202000
"Clinical Trial Coordinator","8 - 10 years",64500
"Clinical Trial Manager","8 - 10 years",296000
"Clinician ","8 - 10 years",57100
"Clinician Recruiter","8 - 10 years",190440
"Cloud Engineer","8 - 10 years",240000
"Cloud Operations Engineer","8 - 10 years",74000
"Collections Librarian","8 - 10 years",53923
"College Assistant Archivist","8 - 10 years",31000
"College Success Manager","8 - 10 years",45000
"Commercial And Finance Manager","8 - 10 years",200000
"Commercial Compliance Manager","8 - 10 years",30000
"Commercial Portfolio Manager","8 - 10 years",280000
"Commercial Service Representative","8 - 10 years",72000
"Communication Officer","8 - 10 years",180000
"Communication Specialist","8 - 10 years",320000
"Communications & Fundraising Officer","8 - 10 years",25000
"Communications & Program Administration Manager","8 - 10 years",32000
"Communications Advisor","8 - 10 years",172000
"Communications Analyst","8 - 10 years",240000
"Communications And Projects Coordinator","8 - 10 years",74000
"Communications Coordinator","8 - 10 years",281111
"Communications Director","8 - 10 years",98000
"Communications Director ","8 - 10 years",72000
"Communications Manager","8 - 10 years",537000
"Communications Officer","8 - 10 years",154000
"Communications Project Manager","8 - 10 years",70000
"Communications Specialist ","8 - 10 years",66500
"Community And Events Manager","8 - 10 years",70000
"Community Development Planner","8 - 10 years",72000
"Community Engagement And Communications Specialist","8 - 10 years",42520
"Community Living Team Manager ","8 - 10 years",48000
"Community Loyalty Team Representative","8 - 10 years",44000
"Community Manager","8 - 10 years",200000
"Community Organizer ","8 - 10 years",36000
"Community Organizing Manager","8 - 10 years",55000
"Community Programmes Administrator","8 - 10 years",58500
"Compensation Manager","8 - 10 years",176000
"Competent Authority Analyst","8 - 10 years",245060
"Complex Coordinator","8 - 10 years",36000
"Compliance Assistant","8 - 10 years",45720
"Compliance Associate ","8 - 10 years",82500
"Compliance Manager","8 - 10 years",362000
"Compliance Officer","8 - 10 years",153000
"Compliance Programmer","8 - 10 years",51500
Compositor,"8 - 10 years",180000
"Computer Systems Analyst","8 - 10 years",163000
"Computer Technician I","8 - 10 years",38000
"Conflicts Analyst","8 - 10 years",27000
"Construction Materials Testing Tech","8 - 10 years",32000
"Construction Project Accountant","8 - 10 years",75000
Consultant,"8 - 10 years",2375000
"Consultant ","8 - 10 years",558000
"Consultant (In-Hounited Statese, Not Freelance)","8 - 10 years",260000
"Consultant / Project Manager","8 - 10 years",216000
"Consultant Ii","8 - 10 years",152500
"Consumer Back Office Representative- Financials","8 - 10 years",35360
"Consumer Insights Specialist","8 - 10 years",61000
"Contact Tracer","8 - 10 years",201270
"Content And Brand Strategist","8 - 10 years",54500
"Content Designer","8 - 10 years",398000
"Content Development Manager ","8 - 10 years",84618
"Content Director","8 - 10 years",180000
"Content Editor","8 - 10 years",53000
"Content Marketing Manager","8 - 10 years",320000
"Content Producer","8 - 10 years",62400
"Content Strategist","8 - 10 years",338000
"Content Strategist And Writer","8 - 10 years",57000
"Content Writer","8 - 10 years",43980
"Content Writer/Copywriter","8 - 10 years",41000
"Continuing Education Librarian","8 - 10 years",48807
"Continuounited States Improvement Lead","8 - 10 years",26500
"Continuounited States Process Improvement Manager","8 - 10 years",67000
"Contract Branch Manager","8 - 10 years",184000
"Contract Manager","8 - 10 years",70000
"Contracting Manager ","8 - 10 years",136000
"Contractor ","8 - 10 years",190000
"Contracts Specialist","8 - 10 years",264000
"Contracts Specialist 3","8 - 10 years",67204
"Control & Risk Management Manager ","8 - 10 years",255000
Controller,"8 - 10 years",220000
"Controlling Assistant","8 - 10 years",55000
"Conventional Mortgage Underwriter ","8 - 10 years",85000
"Conversion Optimization Specialist","8 - 10 years",196000
Coo,"8 - 10 years",280000
"Coordination Bunited Statesiness Partner","8 - 10 years",68000
Coordinator,"8 - 10 years",296780
"Coordinator ","8 - 10 years",113000
"Coordinator Of Academic Advising ","8 - 10 years",37500
"Coordinator Of Instructional Technology","8 - 10 years",31500
"Coordinator Of Sales","8 - 10 years",32240
"Coordinator, Student Volunteer Programs","8 - 10 years",42500
"Copy Writer","8 - 10 years",37100
Copywriter,"8 - 10 years",395000
Copywriter/Proofreader,"8 - 10 years",50000
"Copywriting Supervisor","8 - 10 years",49500
"Corporate & Foundation Relations Manager","8 - 10 years",41000
"Corporate Counsel","8 - 10 years",606000
"Corporate Educator","8 - 10 years",37360
"Corporate Pa ","8 - 10 years",21500
"Corporate Recruiter","8 - 10 years",64000
"Corporate Strategy","8 - 10 years",318000
"Cost & Pricing Officer","8 - 10 years",184000
Counselor,"8 - 10 years",50000
"Counselor ","8 - 10 years",39000
"Country Head Of Market Access","8 - 10 years",510000
"Countryside Worker","8 - 10 years",20200
Cpa,"8 - 10 years",204000
"Cpa (Tax Senior Associate) ","8 - 10 years",75000
"Creative Producer","8 - 10 years",222400
"Creative Services Specialist","8 - 10 years",72077
"Credentialing Coordinator","8 - 10 years",53000
"Credentialing Specialist","8 - 10 years",64000
"Credit Administration Officer","8 - 10 years",59000
"Credit Analyst","8 - 10 years",254000
"Credit Department Manager","8 - 10 years",162000
"Credit Specialist","8 - 10 years",50000
"Crime Data Analyst","8 - 10 years",178340
"Crisis Communications Manager","8 - 10 years",62700
"Crisis Line Manager","8 - 10 years",56000
"Critical Facilities Supervisor ","8 - 10 years",258000
"Crm Analyst","8 - 10 years",175100
"Crm And Inside Sales Manager","8 - 10 years",78000
"Crm Manager","8 - 10 years",260000
"Crm Manager ","8 - 10 years",70
"Cro Manager","8 - 10 years",180000
Csr,"8 - 10 years",39520
"Csr Ii","8 - 10 years",51000
"Cte Marketing Teacher","8 - 10 years",58500
"Cultural Resources Specialist & Archeologist","8 - 10 years",72500
"Cunited Statestodian Of Records","8 - 10 years",163000
"Cunited Statestomer Account Manager ","8 - 10 years",220000
"Cunited Statestomer Advisor","8 - 10 years",20750
"Cunited Statestomer Care Advisor","8 - 10 years",29700
"Cunited Statestomer Experience Associate","8 - 10 years",54000
"Cunited Statestomer Experience Director ","8 - 10 years",300000
"Cunited Statestomer Experience Manager ","8 - 10 years",31500
"Cunited Statestomer Experience Supervisor","8 - 10 years",74720
"Cunited Statestomer Project Officer","8 - 10 years",41000
"Cunited Statestomer Relations Clerk/Accounts Receivable Clerk","8 - 10 years",45000
"Cunited Statestomer Service (Specialty Dept)","8 - 10 years",49000
"Cunited Statestomer Service Agent","8 - 10 years",36000
"Cunited Statestomer Service Manager","8 - 10 years",25000
"Cunited Statestomer Service Manager ","8 - 10 years",41288
"Cunited Statestomer Service Rep","8 - 10 years",30080
"Cunited Statestomer Service Rep Iii","8 - 10 years",40518
"Cunited Statestomer Service Representative","8 - 10 years",131800
"Cunited Statestomer Service Technical Trainer","8 - 10 years",49900
"Cunited Statestomer Success Manager","8 - 10 years",1296600
"Cunited Statestomer Success Manager ","8 - 10 years",70000
"Cunited Statestomer Support Manager","8 - 10 years",144000
"Cunited Statestomer Support Representative","8 - 10 years",55000
"Cunited Statestomer Support Specialist","8 - 10 years",54600
"Curriculum Coordinator ","8 - 10 years",60000
"Cx Coach ","8 - 10 years",47000
"Cyber Security Engineer","8 - 10 years",190000
"Data Analyst","8 - 10 years",2846126
"Data Analyst ","8 - 10 years",351230
"Data Analyst Supervisor (Public Health)","8 - 10 years",62500
"Data Analyst, Fundraising","8 - 10 years",70500
"Data Analytics Engineer","8 - 10 years",253000
"Data Analytics Manager ","8 - 10 years",253000
"Data Associate","8 - 10 years",58000
"Data Engineer","8 - 10 years",1551490
"Data Engineer ","8 - 10 years",43000
"Data Entry","8 - 10 years",76720
"Data Insights Analyst","8 - 10 years",196000
"Data Manager","8 - 10 years",378000
"Data Ops Lead","8 - 10 years",280000
"Data Practice Lead","8 - 10 years",262000
"Data Privacy & Compliance Professional","8 - 10 years",270600
"Data Processor","8 - 10 years",29861
"Data Protection Manager","8 - 10 years",190000
"Data Science","8 - 10 years",445000
"Data Science Manager","8 - 10 years",436800
"Data Scientist","8 - 10 years",1630000
"Data Scientist Iii","8 - 10 years",61500
"Data Statistician","8 - 10 years",221406
"Data Strategist","8 - 10 years",166000
"Data Visualization Consultant","8 - 10 years",220000
"Data Visualization Developer","8 - 10 years",176000
"Database Administrator ","8 - 10 years",72000
"Database And Evaluation Coordinator","8 - 10 years",62000
"Database Manager","8 - 10 years",47500
"Degree Programme Manager","8 - 10 years",68000
"Delivery Manager","8 - 10 years",25000
"Deliworker ","8 - 10 years",730000
"Department Assistant Manager","8 - 10 years",43000
"Department Manager","8 - 10 years",204000
"Department Services Manager","8 - 10 years",40000
"Department Supervisor","8 - 10 years",49760
"Deputy Counsel","8 - 10 years",226000
"Deputy County Counsel","8 - 10 years",272000
"Deputy Director","8 - 10 years",165360
"Deputy Director, Digital Media","8 - 10 years",58000
"Deputy Executive Director","8 - 10 years",330000
"Design & Marketing Specialist","8 - 10 years",50300
"Design Director","8 - 10 years",190000
"Design Engineer","8 - 10 years",84000
"Design Engineer ","8 - 10 years",876000
"Design Project Manager","8 - 10 years",182000
"Design Researcher","8 - 10 years",297000
"Design Staff","8 - 10 years",58000
"Design Thinking Strategist","8 - 10 years",195000
Designer,"8 - 10 years",74600
"Desktop Support","8 - 10 years",50000
Despatch,"8 - 10 years",20250
"Detentions Crew Leader","8 - 10 years",41000
Developer,"8 - 10 years",190000
Development,"8 - 10 years",55000
"Development & Communications Officer","8 - 10 years",64000
"Development And Communications Manager","8 - 10 years",55000
"Development And Marketing Coordinator","8 - 10 years",76960
"Development Assistant","8 - 10 years",54800
"Development Associate","8 - 10 years",244780
"Development Coordinator","8 - 10 years",223400
